,std_dev_age,native_share,education_variability,job_variability,frac_employed,median_income,gini_index,Lindqvist_Ostling_S1,Abramowitz_Saunders_S1,Duca_Saving_S1,Lindqvist_Ostling_S2,Abramowitz_Saunders_S2,Duca_Saving_S2,Lindqvist_Ostling_S3,Abramowitz_Saunders_S3,Duca_Saving_S3
std_dev_age,1.000,0.310,-0.307,-0.307,-0.618,-0.725,-0.585,-0.095,-0.105,0.609,0.188,-0.055,0.498,-0.537,-0.158,-0.391
native_share,0.310,1.000,-0.222,-0.222,-0.025,-0.279,-0.581,-0.325,-0.343,0.238,-0.219,-0.246,-0.366,-0.545,-0.327,-0.323
education_variability,-0.307,-0.222,1.000,1.000,0.675,0.595,0.644,-0.120,-0.327,-0.114,-0.347,-0.302,-0.409,0.471,-0.356,0.217
job_variability,-0.307,-0.222,1.000,1.000,0.675,0.595,0.644,-0.120,-0.327,-0.114,-0.347,-0.302,-0.409,0.471,-0.356,0.217
frac_employed,-0.618,-0.025,0.675,0.675,1.000,0.709,0.610,-0.177,-0.483,-0.130,-0.579,-0.551,-0.560,0.431,-0.503,0.082
median_income,-0.725,-0.279,0.595,0.595,0.709,1.000,0.728,-0.116,-0.272,-0.487,-0.333,-0.271,-0.469,0.594,-0.190,0.480
gini_index,-0.585,-0.581,0.644,0.644,0.610,0.728,1.000,0.414,0.004,-0.193,-0.041,-0.018,-0.143,0.820,-0.189,0.670
Lindqvist_Ostling_S1,-0.095,-0.325,-0.120,-0.120,-0.177,-0.116,0.414,1.000,0.682,-0.007,0.646,0.689,0.342,0.331,0.348,0.341
Abramowitz_Saunders_S1,-0.105,-0.343,-0.327,-0.327,-0.483,-0.272,0.004,0.682,1.000,-0.489,0.458,0.900,0.204,0.204,0.851,0.130
Duca_Saving_S1,0.609,0.238,-0.114,-0.114,-0.130,-0.487,-0.193,-0.007,-0.489,1.000,0.219,-0.370,0.526,-0.483,-0.652,-0.198
Lindqvist_Ostling_S2,0.188,-0.219,-0.347,-0.347,-0.579,-0.333,-0.041,0.646,0.458,0.219,1.000,0.713,0.673,-0.184,0.432,0.092
Abramowitz_Saunders_S2,-0.055,-0.246,-0.302,-0.302,-0.551,-0.271,-0.018,0.689,0.900,-0.370,0.713,1.000,0.289,0.125,0.838,0.178
Duca_Saving_S2,0.498,-0.366,-0.409,-0.409,-0.560,-0.469,-0.143,0.342,0.204,0.526,0.673,0.289,1.000,-0.363,0.106,-0.135
Lindqvist_Ostling_S3,-0.537,-0.545,0.471,0.471,0.431,0.594,0.820,0.331,0.204,-0.483,-0.184,0.125,-0.363,1.000,0.112,0.676
Abramowitz_Saunders_S3,-0.158,-0.327,-0.356,-0.356,-0.503,-0.190,-0.189,0.348,0.851,-0.652,0.432,0.838,0.106,0.112,1.000,-0.065
Duca_Saving_S3,-0.391,-0.323,0.217,0.217,0.082,0.480,0.670,0.341,0.130,-0.198,0.092,0.178,-0.135,0.676,-0.065,1.000
